subsite,node,sensor,method,stream,begin_datetime,end_datetime
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_pps,2014-04-10T19:57:08.284000Z,2014-04-11T19:57:08.284Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_status,2014-04-10T19:57:08.453000Z,2014-04-11T19:57:08.453Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_superv,2014-04-13T17:35:05.106000Z,2014-04-14T17:35:05.106Z
CE01ISSM,SBC11,00-CPMENG000,telemetered,cg_cpm_eng_cpm,2014-04-16T20:55:08.239000Z,2014-04-17T20:55:08.239Z
CE01ISSM,RID16,02-FLORTD000,telemetered,flort_dj_dcl_instrument,2014-04-14T20:02:05.385000Z,2014-04-15T20:02:05.385Z
CE01ISSM,RID16,05-PCO2WB000,telemetered,pco2w_abc_dcl_instrument,2014-04-14T20:05:33.318000Z,2014-04-15T20:05:33.318Z
CE01ISSM,RID16,05-PCO2WB000,telemetered,pco2w_abc_dcl_power,2014-04-14T20:00:39.778000Z,2014-04-15T20:00:39.778Z
CE01ISSM,RID16,07-NUTNRB000,telemetered,nutnr_b_dcl_conc_instrument,2014-04-14T20:00:33.360000Z,2014-04-15T20:00:33.360Z
CE01ISSM,RID16,07-NUTNRB000,telemetered,nutnr_b_dcl_conc_metadata,2014-04-14T19:57:11.436000Z,2014-04-15T19:57:11.436Z
CE01ISSM,RID16,01-OPTAAD000,telemetered,optaa_dj_dcl_instrument,2014-04-10T17:38:18.328000Z,2014-04-11T17:38:18.328Z
CE01ISSM,RID16,01-OPTAAD000,telemetered,optaa_dj_dcl_metadata,2014-04-10T17:37:10.000000Z,2014-04-11T17:37:10.000Z
CE01ISSM,RID16,08-SPKIRB000,telemetered,spkir_abj_dcl_instrument,2014-04-14T20:02:02.478000Z,2014-04-15T20:02:02.478Z
CE01ISSM,RID16,06-PHSEND000,telemetered,phsen_abcdef_dcl_instrument,2014-04-14T20:03:19.740000Z,2014-04-15T20:03:19.740Z

